date,open,high,low,close,volume
2017-06-20,185.65,185.75,183.2,184.28,747132
2017-06-21,184.3,185.65,184.27,185.43,487089
2017-06-22,185.56,186.04,183.9,184.89,321427
2017-06-23,185.0,185.84,184.415,185.47,339909
2017-06-26,185.68,186.16,184.69,184.92,327562
2017-06-27,184.58,184.98,183.11,183.21,299915
2017-06-28,184.35,185.28,183.68,184.21,453070
2017-06-29,184.3,184.6,182.0,182.84,487670
2017-06-30,183.0,184.475,183.0,183.84,342124
2017-07-03,184.98,185.88,182.49,182.52,268613
2017-07-05,183.09,184.59,183.09,183.78,363232
2017-07-06,182.93,184.04,181.88,182.24,587864
2017-07-07,183.28,184.85,182.905,184.08,303426
2017-07-10,181.9,181.98,177.71,180.39,660388
2017-07-11,180.63,181.97,180.16,180.84,341655
2017-07-12,182.0,183.58,181.65,182.91,316489
2017-07-13,183.15,183.87,181.04,182.74,382867
2017-07-14,183.1,183.95,182.72,183.39,265727
2017-07-17,183.65,185.61,183.65,185.22,494082
2017-07-18,185.22,185.41,182.95,183.5,399373
2017-07-19,183.83,183.98,182.25,182.91,450888
2017-07-20,183.83,184.88,182.28,184.11,625590
2017-07-21,183.79,185.89,181.965,185.24,434500
2017-07-24,184.93,185.98,184.47,185.01,734048
2017-07-25,176.89,178.4,171.32,175.11,1756530
2017-07-26,174.0,175.59,171.56,172.58,1007787
2017-07-27,173.15,173.81,171.58,173.23,678835
2017-07-28,173.17,174.69,172.11,174.11,537981
2017-07-31,174.65,174.9,172.7,173.44,486618
2017-08-01,173.905,176.2,173.905,175.74,674872
2017-08-02,175.72,176.76,175.26,176.69,430143
2017-08-03,176.79,178.45,175.88,178.16,372553
2017-08-04,178.45,178.725,176.88,177.85,367611
2017-08-07,177.88,178.42,176.7225,177.95,405172
2017-08-08,177.38,179.74,176.49,176.64,376732
2017-08-09,176.58,176.91,175.295,176.7,500776
2017-08-10,176.1,177.85,175.17,175.66,662533
2017-08-11,176.33,178.02,175.07,177.03,414729
2017-08-14,178.32,180.41,178.32,179.76,437697
2017-08-15,179.43,181.21,179.23,179.52,381785
2017-08-16,180.31,182.9,179.74,182.4,365071
2017-08-17,181.99,182.9499,179.67,180.22,501778
2017-08-18,179.98,181.28,178.85,179.7,333163
2017-08-21,179.71,180.55,178.9,180.18,337110
2017-08-22,180.51,183.12,179.86,182.84,219760
2017-08-23,181.67,182.47,179.85,179.94,382771
2017-08-24,180.02,181.29,179.75,180.96,216120
