date,open,high,low,close,volume
2017-06-20,90.1,91.19,89.64,89.96,3447659
2017-06-21,99.23,99.75,97.02,98.58,8698620
2017-06-22,99.16,100.8,98.53,98.88,3756991
2017-06-23,98.86,100.14,98.06,99.42,3355677
2017-06-26,99.44,100.5,98.01,98.19,2221163
2017-06-27,98.0,98.14,95.96,96.0,2363055
2017-06-28,96.76,97.1,95.82,96.81,1879225
2017-06-29,96.87,96.87,95.045,95.51,1624550
2017-06-30,95.99,96.71,95.63,95.75,2202737
2017-07-03,96.23,96.23,94.47,94.79,755328
2017-07-05,95.11,95.85,94.54,95.54,1511831
2017-07-06,94.75,95.66,94.5,94.91,1090040
2017-07-07,95.39,96.98,95.36,96.55,1232128
2017-07-10,96.59,97.535,96.3,97.25,1082391
2017-07-11,97.16,97.64,96.3,97.41,873117
2017-07-12,98.09,99.0,97.9,98.84,1374959
2017-07-13,99.0,99.24,97.4438,97.77,1588509
2017-07-14,98.05,98.54,97.6796,98.42,829608
2017-07-17,98.48,98.6343,97.9103,98.53,694083
2017-07-18,98.25,98.7,97.75,98.61,965526
2017-07-19,98.99,99.41,98.63,99.25,977444
2017-07-20,99.41,99.57,98.04,98.92,989467
2017-07-21,98.73,99.38,98.06,98.94,861926
2017-07-24,98.94,99.51,98.44,99.45,870417
2017-07-25,99.52,100.58,99.31,99.92,814849
2017-07-26,100.07,100.77,99.47,100.67,1072323
2017-07-27,101.0,101.725,97.62,98.92,1562611
2017-07-28,98.42,99.39,97.99,98.51,919259
2017-07-31,98.86,99.05,97.56,98.87,1237441
2017-08-01,98.37,99.23,98.21,98.36,799146
2017-08-02,100.15,100.17,97.18,98.35,1304113
2017-08-03,98.42,98.9,97.8,98.19,1305869
2017-08-04,98.37,99.23,98.21,98.36,799146
2017-08-07,98.27,99.17,98.27,98.88,565779
2017-08-08,98.47,99.01,97.485,98.07,851519
2017-08-09,97.34,97.71,96.22,97.7,3383319
2017-08-10,97.0,97.44,95.88,95.95,1984203
2017-08-11,96.1,98.88,96.1,98.34,1723693
2017-08-14,99.39,100.57,99.06,99.74,984399
2017-08-15,99.74,100.325,99.08,99.99,960747
2017-08-16,100.19,101.82,99.75,101.75,1421174
2017-08-17,101.44,101.75,100.52,100.66,1987073
2017-08-18,100.54,101.18,100.15,100.43,1708865
2017-08-21,100.84,103.49,100.44,102.65,2513620
2017-08-22,103.22,105.21,102.1,104.89,2039607
2017-08-23,104.13,104.83,103.64,104.0,1202795
2017-08-24,104.54,104.695,103.1,104.65,940123
2017-08-25,105.38,105.64,104.61,105.33,1071031
2017-08-28,105.4,105.92,105.2,105.59,1425968
2017-08-29,104.59,105.9,104.5475,105.52,1476983
2017-08-30,105.5,106.45,104.94,106.16,2916623
2017-08-31,106.5,107.77,106.16,107.5,1912012
2017-09-01,107.82,108.09,107.18,107.46,945671
2017-09-05,106.82,107.285,105.84,106.81,1121979
2017-09-06,107.47,107.69,106.32,106.34,1246786
2017-09-07,106.71,107.39,106.14,107.04,1881187
2017-09-08,107.21,107.98,106.94,107.12,1111518
2017-09-11,107.9,108.13,107.36,107.62,1412585
2017-09-12,107.71,107.99,106.39,107.66,1096053
2017-09-13,107.6,108.05,106.99,107.83,863077
2017-09-14,107.42,107.86,106.88,107.74,929077
2017-09-15,107.77,107.77,106.66,107.3,1208885
2017-09-18,107.83,108.385,107.29,107.44,1173035
2017-09-19,107.82,107.84,106.5301,107.14,1981915
2017-09-20,107.24,107.45,106.24,106.99,1809846
2017-09-21,107.35,107.35,106.07,106.84,1472828
2017-09-22,106.86,107.42,105.791,106.3,1899551
2017-09-25,106.73,107.13,104.51,105.76,4823640
2017-09-26,111.28,113.73,107.25,110.07,6247686
2017-09-27,110.65,111.23,109.8,109.92,2220292
2017-09-28,109.48,110.37,109.33,109.59,1313096
2017-09-29,109.8,110.93,109.57,110.86,1587701
2017-10-02,111.22,112.665,110.42,112.18,2791163
2017-10-03,112.19,112.91,111.78,111.93,1183138
2017-10-04,111.89,113.02,111.365,112.74,1202418
2017-10-05,113.15,115.62,112.66,115.52,2201348
2017-10-06,115.16,117.22,114.43,117.06,2041735
2017-10-09,117.0,117.97,116.9,117.07,1707626
2017-10-10,117.29,118.36,116.93,118.35,1475255
2017-10-11,118.0,119.37,117.8142,119.37,1490484
2017-10-12,119.31,121.22,119.29,120.91,3081371
2017-10-13,121.35,122.31,120.87,121.1,1553142
2017-10-16,121.13,121.23,120.16,120.89,1015953
2017-10-17,120.36,121.12,120.08,121.12,1198245
2017-10-18,121.18,121.27,120.1089,120.69,1074395
2017-10-19,120.0,121.67,118.68,121.6,1233377
2017-10-20,121.97,122.36,121.35,121.8,1394238
2017-10-23,122.21,122.9499,122.01,122.13,1082897
2017-10-24,120.1,121.74,119.17,121.28,1680464
2017-10-25,120.93,121.64,119.68,120.25,1359353
2017-10-26,120.57,121.15,119.91,120.29,1507519
