date,open,high,low,close,volume
2017-06-08,50.49,50.554,49.8,50.48,1989714
2017-06-09,50.38,50.64,49.88,50.05,2242127
2017-06-12,50.01,50.665,50.0,50.64,2014448
2017-06-13,50.26,50.73,50.02,50.55,1707949
2017-06-14,50.86,51.2,50.33,50.75,1778106
2017-06-15,50.53,51.44,50.52,51.3,1960920
2017-06-16,50.88,51.855,50.115,50.31,3423241
2017-06-19,50.37,50.89,50.01,50.86,1567109
2017-06-20,50.92,51.16,50.62,50.83,2028013
2017-06-21,50.74,51.43,50.74,51.19,1878894
2017-06-22,51.1,51.43,50.66,50.85,1488250
2017-06-23,51.03,52.41,51.03,51.99,3310002
2017-06-26,52.13,52.24,51.46,51.52,1949470
2017-06-27,51.31,51.505,50.291,50.3,2479224
2017-06-28,50.48,51.24,50.17,51.05,2031471
2017-06-29,50.8,51.03,49.65,49.91,2118015
2017-06-30,50.49,50.5,49.65,49.68,2616768
2017-07-03,49.97,50.15,49.47,49.72,1038494
2017-07-05,49.83,49.956,49.03,49.51,1899637
2017-07-06,49.25,50.48,49.2,50.33,3692137
2017-07-07,50.33,50.825,50.05,50.7,2867070
2017-07-10,50.8,50.9,50.16,50.51,1806599
2017-07-11,50.57,50.58,49.81,49.98,1929276
2017-07-12,50.39,50.87,50.244,50.42,1285113
2017-07-13,50.53,50.86,50.1201,50.81,1707607
2017-07-14,51.13,51.73,51.02,51.67,1582723
2017-07-17,51.74,51.74,51.39,51.54,1189242
2017-07-18,51.5,51.87,51.215,51.84,1069898
2017-07-19,51.98,52.28,51.68,52.23,1825130
2017-07-20,52.39,52.5828,51.98,52.37,1591205
2017-07-21,52.16,52.63,52.16,52.58,1245056
2017-07-24,52.63,52.95,52.37,52.73,1760360
2017-07-25,52.84,53.5,52.6201,53.39,2104434
2017-07-26,53.34,53.94,53.06,53.57,1604969
2017-07-27,53.42,54.07,53.25,54.03,2357926
2017-07-28,53.92,54.24,53.24,53.41,1244070
2017-07-31,53.39,53.6031,52.5281,52.75,1958674
2017-08-01,52.94,53.35,52.41,53.12,1809977
2017-08-02,52.79,53.13,52.24,53.04,1738036
2017-08-03,53.17,53.49,52.46,53.14,1460109
2017-08-04,53.31,53.32,52.4,52.71,1378432
2017-08-07,52.83,53.0,52.59,52.87,1861071
2017-08-08,52.69,53.38,52.54,52.63,3157566
2017-08-09,51.54,52.43,50.79,52.03,3371401
2017-08-10,51.87,52.83,51.5626,52.52,2874425
2017-08-11,53.38,54.01,52.56,53.82,2744673
2017-08-14,53.94,54.57,53.86,53.95,2009440
2017-08-15,53.98,54.12,53.69,54.01,1195282
2017-08-16,54.27,54.4,54.07,54.31,1031757
2017-08-17,54.26,54.73,53.6,53.71,1684963
2017-08-18,53.48,54.36,53.43,54.05,1930337
2017-08-21,54.14,54.52,53.96,54.36,1257439
2017-08-22,54.38,55.49,54.37,55.38,2360412
2017-08-23,55.49,55.58,54.89,55.16,1587431
2017-08-24,55.1,55.24,54.78,54.98,1609352
2017-08-25,55.17,55.7,54.93,55.22,1810028
2017-08-28,55.4,55.49,54.96,55.16,1643021
2017-08-29,55.04,55.57,54.9,55.37,1459292
2017-08-30,55.33,56.13,55.27,55.95,1542507
2017-08-31,56.05,56.44,55.76,55.82,2030305
2017-09-01,55.97,56.29,55.88,56.08,1612405
2017-09-05,55.97,56.46,55.95,56.35,2642359
2017-09-06,56.95,57.25,55.95,56.33,3258430
2017-09-07,56.38,56.57,56.07,56.36,2001714
2017-09-08,56.36,56.7,56.21,56.32,1230958
2017-09-11,56.53,56.96,56.43,56.66,1364512
2017-09-12,56.48,56.91,55.85,56.08,2784907
2017-09-13,55.85,56.595,55.7718,56.38,1523622
2017-09-14,56.33,56.64,55.96,56.58,2232859
